,Date,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign Traffic,Total_Sessions,Total_Bounces,Total_Duration,Days away from max date,Latest report?,Target_Groups
0,2022-08-16,,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,73,76,0,
1,2022-06-16,3,CloseFaster,NoDTI,Facebook,Single image,Campaign,1,0,0,137,0,1
2,2022-08-29,1,CloseFaster,MoreAll,User ID Display,,Campaign,2,0,0,63,0,1
3,2022-06-09,4,UnfairAdvantage,OnePage,LinkedIn,Single image,Campaign,2,0,50,144,0,2
4,2022-08-03,1,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,1,0,0,89,0,1
5,2022-08-23,4,CloserTwins,MoreAll,User ID Display,,Campaign,3,0,0,69,0,2
6,2022-06-14,5,CloserTwins,Faceoff,Domain Display,,Campaign,2,0,0,139,0,2
7,2022-09-05,1,CloserTwins,MoreAll,User ID Display,,Campaign,2,0,0,56,0,1
8,2022-08-30,,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,2,0,0,62,0,
9,2022-06-15,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,5,0,184,138,0,3
10,2022-05-05,,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,105,179,0,
11,2022-04-30,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0,184,0,2
12,2022-09-27,4,UnfairAdvantage,OnePage,Domain Display,,Campaign,2,0,0,34,0,2
13,2022-10-13,4,CloserTwins,CloseMore,Domain Display,,Campaign,2,0,0,18,0,2
14,2022-05-31,6,Trade Media Ads,ROS,Trade Media,Housingwire,Campaign,4,0,1403,153,0,3
15,2022-09-09,1,CloserTwins,Faceoff,Domain Display,,Campaign,1,0,0,52,0,1
16,2022-05-03,,UnfairAdvantage,OnePage,Domain Display,,Campaign,1,0,0,181,0,
17,2022-09-25,5,CloserTwins,Faceoff,Domain Display,,Campaign,8,0,0,36,0,2
18,2022-07-02,4,CloserTwins,CloseMore,Domain Display,,Campaign,3,0,0,121,0,2
19,2022-06-04,4,UnfairAdvantage,OnePage,Domain Display,,Campaign,1,0,0,149,0,2
20,2022-07-23,4,CloserTwins,Competitors,Domain Display,,Campaign,3,0,0,100,0,2
21,2022-08-21,1,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0,71,0,1
22,2022-06-17,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0,136,0,1
23,2022-07-30,5,UnfairAdvantage,OnePage,LinkedIn,Single image,Campaign,1,0,0,93,0,2
24,2022-05-24,1,CloserTwins,Namaste,Facebook,Video,Campaign,2,0,0,160,0,1
25,2022-06-30,4,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,8,0,7,123,0,2
26,2022-09-09,3,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,17,0,0,52,0,1
27,2022-07-03,5,CloserTwins,interactive,Domain Display,,Campaign,1,1,0,120,0,2
28,2022-07-12,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,19,0,37,111,0,2
29,2022-04-16,6,CloserTwins,OTT,OTT,Video,Campaign,1,0,0,198,0,3
30,2022-04-29,6,Trade Media Ads,ROS,Trade Media,Housingwire,Campaign,1,0,0,185,0,3
31,2022-05-31,4,CloserTwins,MoreAll,Domain Display,,Campaign,1,0,0,153,0,2
32,2022-05-20,6,Trade Media Ads,ROS,Trade Media,Housingwire,Campaign,4,0,50,164,0,3
33,2022-05-24,2,UnfairAdvantage,OnePage,Facebook,Single image,Campaign,1,0,0,160,0,1
34,2022-05-09,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,5,0,0,175,0,2
35,2022-05-28,6,Trade Media Ads,ROS,Trade Media,Housingwire,Campaign,1,0,155,156,0,3
36,2022-07-24,1,CloserTwins,Cutdown,Domain Display,Video,Campaign,2,0,0,99,0,1
37,2022-08-13,3,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,8,0,0,79,0,1
38,2022-06-11,1,CloserTwins,Cutdown,Facebook,Video,Campaign,1,0,0,142,0,1
39,2022-06-20,6,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,90,0,12847,133,0,3
40,2022-09-17,5,CloserTwins,MoreAll,Domain Display,,Campaign,2,0,6,44,0,2
41,2022-09-05,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,2,0,0,56,0,1
42,2022-09-01,4,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,60,0,2
43,2022-09-21,4,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,4,0,0,40,0,2
44,2022-08-18,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,2,0,0,74,0,2
45,2022-06-25,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,3,0,0,128,0,3
46,2022-05-03,2,CloserTwins,EarlyBird,Facebook,Single image,Campaign,1,0,0,181,0,1
47,2022-07-13,4,UnfairAdvantage,OnePage,Domain Display,,Campaign,3,0,0,110,0,2
48,2022-07-20,2,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,1,0,0,103,0,1
49,2022-07-21,5,CloseFaster,FasterAll,Domain Display,,Campaign,4,0,0,102,0,2
50,2022-08-08,5,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0,84,0,2
51,2022-08-26,1,CloseFaster,FasterAll,User ID Display,,Campaign,6,0,0,66,0,1
52,2022-05-30,1,CloserTwins,Paperwork,Facebook,Video,Campaign,2,0,0,154,0,1
53,2022-07-02,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,6,0,0,121,0,2
54,2022-05-26,6,Trade Media Ads,NaN,Trade Media,National_mortgage_news,Campaign,1,0,0,158,0,3
55,2022-08-15,4,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0,77,0,2
56,2022-10-14,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,15,0,0,17,0,2
57,2022-08-04,2,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,7,0,0,88,0,1
58,2022-07-10,2,CloserTwins,FasterAll,Domain Display,,Campaign,1,0,0,113,0,1
59,2022-07-30,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,4,0,0,93,0,2
60,2022-10-06,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,11,0,0,25,0,2
61,2022-05-25,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0,159,0,2
62,2022-06-03,3,CloserTwins,Cutdown,Domain Display,Video,Campaign,2,0,0,150,0,1
63,2022-09-12,3,CloseFaster,MoreAll,User ID Display,,Campaign,13,0,0,49,0,1
64,2022-09-04,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,5,0,0,57,0,2
65,2022-08-02,1,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,90,0,1
66,2022-09-23,5,UnfairAdvantage,OnePage,Domain Display,,Campaign,7,0,0,38,0,2
67,2022-06-20,1,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,0,133,0,1
68,2022-10-04,4,UnfairAdvantage,OnePage,User ID Display,,Campaign,40,0,0,27,0,2
69,2022-05-17,4,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0,167,0,2
70,2022-09-21,5,CloseFaster,FasterAll,Domain Display,,Campaign,1,0,129,40,0,2
71,2022-07-30,4,CloserTwins,CloseMore,Domain Display,,Campaign,2,0,0,93,0,2
72,2022-06-22,3,CloserTwins,Paperwork,Facebook,Video,Campaign,1,0,0,131,0,1
73,2022-05-26,4,CloserTwins,Competitors,Domain Display,,Campaign,2,0,0,158,0,2
74,2022-04-22,,NaN,NaN,,,General traffic,1757,5,140328,192,0,
75,2022-10-17,1,UnfairAdvantage,OnePage,User ID Display,,Campaign,13,0,0,14,0,1
76,2022-04-25,1,CloserTwins,Faceoff,Facebook,Video,Campaign,2,0,0,189,0,1
77,2022-05-20,5,CloserTwins,Faceoff,Domain Display,,Campaign,1,0,0,164,0,2
78,2022-04-25,3,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,2,0,5,189,0,1
79,2022-06-02,6,Trade Media Ads,ROS,Trade Media,Housingwire,Campaign,2,0,0,151,0,3
80,2022-10-16,4,UnfairAdvantage,NoDTI,User ID Display,,Campaign,8,0,1,15,0,2
81,2022-04-28,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0,186,0,2
82,2022-08-11,1,CloserTwins,MoreAll,Domain Display,,Campaign,1,0,0,81,0,1
83,2022-06-11,5,CloserTwins,FasterAll,Domain Display,,Campaign,1,0,0,142,0,2
84,2022-07-22,4,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,101,0,2
85,2022-08-17,3,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,75,0,1
86,2022-05-08,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,3,0,0,176,0,3
87,2022-08-10,3,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,6,0,2,82,0,1
88,2022-09-08,5,CloserTwins,CloseMore,Domain Display,,Campaign,1,0,0,53,0,2
89,2022-08-15,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,10,0,0,77,0,1
90,2022-07-30,1,CloseFaster,FasterAll,User ID Display,,Campaign,10,0,0,93,0,1
91,2022-10-11,4,UnfairAdvantage,OnePage,User ID Display,,Campaign,127,0,0,20,0,2
92,2022-09-13,6,Trade Media Ads,ROS,Trade Media,Housingwire,Campaign,4,0,216,48,0,3
93,2022-10-12,5,CloserTwins,Faceoff,Domain Display,,Campaign,4,0,0,19,0,2
94,2022-05-02,2,CloserTwins,EarlyBird,Facebook,Single image,Campaign,2,0,0,182,0,1
95,2022-05-14,2,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,1,0,0,170,0,1
96,2022-06-29,1,CloseFaster,MoreAll,Domain Display,,Campaign,1,0,0,124,0,1
97,2022-04-22,4,UnfairAdvantage,OnePage,LinkedIn,Single image,Campaign,2,0,0,192,0,2
98,2022-10-30,5,UnfairAdvantage,OnePage,Domain Display,,Campaign,66,0,6863,1,1,2
99,2022-10-29,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,62,0,3547,2,1,2
100,2022-06-08,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,4,0,292,145,0,3
101,2022-09-24,4,UnfairAdvantage,NaN,User ID Display,,Campaign,13,0,0,37,0,2
102,2022-07-26,5,CloseFaster,FasterAll,User ID Display,,Campaign,1,1,0,97,0,2
103,2022-10-17,4,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,6,0,0,14,0,2
104,2022-06-13,4,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,12,0,0,140,0,2
105,2022-06-03,6,Trade Media Ads,ROS,Trade Media,Housingwire,Campaign,3,0,64,150,0,3
106,2022-05-11,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,5,0,0,173,0,2
107,2022-09-11,5,CloseFaster,FasterAll,Domain Display,,Campaign,4,0,0,50,0,2
108,2022-09-02,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,3,0,80,59,0,3
109,2022-10-10,5,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0,21,0,2
110,2022-07-17,4,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,2,0,0,106,0,2
111,2022-07-30,1,CloserTwins,MoreAll,User ID Display,,Campaign,7,0,0,93,0,1
112,2022-09-08,,NaN,NaN,,,General traffic,5,0,0,53,0,
113,2022-07-30,1,CloserTwins,FasterAll,Domain Display,,Campaign,1,0,0,93,0,1
114,2022-07-13,5,UnfairAdvantage,NaN,LinkedIn,Single image,Campaign,4,0,66,110,0,2
115,2022-10-03,4,CloserTwins,CloseMore,Domain Display,,Campaign,1,0,0,28,0,2
116,2022-10-19,,UnfairAdvantage,NaN,User ID Display,,Campaign,2,0,0,12,1,
117,2022-10-31,5,UnfairAdvantage,OnePage,LinkedIn,Single image,Campaign,13,0,0,0,1,2
118,2022-05-08,5,CloserTwins,FasterAll,Domain Display,,Campaign,1,0,0,176,0,2
119,2022-07-16,3,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,1,0,0,107,0,1
120,2022-06-23,5,CloserTwins,MoreAll,Domain Display,,Campaign,2,0,0,130,0,2
121,2022-10-09,3,CloseFaster,FasterAll,User ID Display,,Campaign,12,0,0,22,0,1
122,2022-10-19,4,CloserTwins,Cutdown,Domain Display,Video,Campaign,2,0,0,12,1,2
123,2022-05-25,1,CloserTwins,FasterAll,Domain Display,,Campaign,1,0,0,159,0,1
124,2022-08-28,4,CloseFaster,FasterAll,User ID Display,,Campaign,1,0,0,64,0,2
125,2022-05-05,3,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,179,0,1
126,2022-09-30,4,UnfairAdvantage,NaN,LinkedIn,Single image,Campaign,1,0,0,31,0,2
127,2022-08-19,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,3,0,0,73,0,2
128,2022-06-26,4,CloserTwins,MoreAll,User ID Display,,Campaign,5,0,235,127,0,2
129,2022-08-30,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,3,0,0,62,0,2
130,2022-10-04,,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,2,27,0,
131,2022-06-12,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0,141,0,2
132,2022-10-12,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,5,0,0,19,0,2
133,2022-10-02,1,CloserTwins,CloseMore,Domain Display,,Campaign,1,0,0,29,0,1
134,2022-10-04,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,1,0,0,27,0,3
135,2022-05-04,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,0,180,0,1
136,2022-09-23,1,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,1,0,0,38,0,1
137,2022-04-30,1,CloserTwins,Faceoff,Facebook,Video,Campaign,2,0,0,184,0,1
138,2022-04-18,1,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0,196,0,1
139,2022-05-13,6,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,127,0,15326,171,0,3
140,2022-06-20,6,SEM Ads,CloseMore,Google SEM,CPC,Campaign,6,0,1076,133,0,3
141,2022-09-28,4,CloserTwins,Competitors,Domain Display,,Campaign,1,0,0,33,0,2
142,2022-10-24,3,CloseFaster,FasterAll,User ID Display,,Campaign,14,0,0,7,1,1
143,2022-08-28,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,8,0,52,64,0,2
144,2022-09-17,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,12,0,0,44,0,1
145,2022-05-07,,UnfairAdvantage,OnePage,LinkedIn,Single image,Campaign,1,0,1,177,0,
146,2022-09-09,4,CloseFaster,MoreAll,User ID Display,,Campaign,34,0,0,52,0,2
147,2022-10-05,3,CloseFaster,FasterAll,User ID Display,,Campaign,17,0,2206,26,0,1
148,2022-06-03,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,3,0,44,150,0,3
149,2022-06-24,6,SEM Ads,CloseMore,Google SEM,CPC,Campaign,7,0,1998,129,0,3
150,2022-07-23,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,3,0,0,100,0,2
151,2022-06-15,5,CloseFaster,MoreAll,Domain Display,,Campaign,3,0,0,138,0,2
152,2022-08-03,4,UnfairAdvantage,OnePage,Domain Display,,Campaign,1,0,0,89,0,2
153,2022-08-04,6,Trade Media Ads,NaN,Trade Media,Chrisman,General traffic,1,0,0,88,0,3
154,2022-09-30,5,UnfairAdvantage,OnePage,Domain Display,,Campaign,7,0,0,31,0,2
155,2022-10-14,3,CloseFaster,FasterAll,User ID Display,,Campaign,16,0,0,17,0,1
156,2022-08-11,5,CloserTwins,MoreAll,Domain Display,,Campaign,7,0,740,81,0,2
157,2022-09-24,3,CloseFaster,MoreAll,User ID Display,,Campaign,9,0,0,37,0,1
158,2022-04-23,5,CloserTwins,Faceoff,Domain Display,,Campaign,4,0,0,191,0,2
159,2022-05-29,4,CloserTwins,Cutdown,LinkedIn,Video,Campaign,1,0,0,155,0,2
160,2022-09-21,5,CloseFaster,FasterAll,User ID Display,,Campaign,25,24,264,40,0,2
161,2022-10-25,3,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,2,0,0,6,1,1
162,2022-07-24,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,2,0,0,99,0,2
163,2022-06-15,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,6,0,314,138,0,3
164,2022-06-13,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,6,0,2158,140,0,3
165,2022-07-18,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,6,0,91,105,0,3
166,2022-08-04,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0,88,0,2
167,2022-08-12,3,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,3,0,0,80,0,1
168,2022-10-11,4,UnfairAdvantage,OnePage,LinkedIn,Single image,Campaign,1,0,0,20,0,2
169,2022-09-03,5,CloseFaster,MoreAll,User ID Display,,Campaign,6,0,0,58,0,2
170,2022-09-28,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,4,0,17,33,0,2
171,2022-05-03,4,CloserTwins,Paperwork,LinkedIn,Video,Campaign,1,0,0,181,0,2
172,2022-07-18,4,CloserTwins,MoreAll,User ID Display,,Campaign,7,0,0,105,0,2
173,2022-08-08,1,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,3,0,268,84,0,1
174,2022-05-08,4,UnfairAdvantage,OnePage,LinkedIn,Single image,Campaign,2,0,0,176,0,2
175,2022-05-12,2,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,172,0,1
176,2022-05-22,1,CloseFaster,3steps,Facebook,Single image,Campaign,1,0,0,162,0,1
177,2022-08-10,1,CloserTwins,MoreAll,Domain Display,,Campaign,1,0,0,82,0,1
178,2022-08-04,1,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,88,0,1
179,2022-10-16,4,UnfairAdvantage,NoDTI,Domain Display,,Campaign,6,0,0,15,0,2
180,2022-04-11,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,11,0,54,203,0,3
181,2022-06-19,4,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,7,0,0,134,0,2
182,2022-08-29,5,CloseFaster,3steps,LinkedIn,Single image,Campaign,3,0,115,63,0,2
183,2022-05-10,2,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0,174,0,1
184,2022-10-14,3,UnfairAdvantage,OnePage,User ID Display,,Campaign,18,0,0,17,0,1
185,2022-05-25,5,CloserTwins,Namaste,LinkedIn,Video,Campaign,2,0,69,159,0,2
186,2022-08-16,2,CloseFaster,FasterAll,User ID Display,,Campaign,3,0,0,76,0,1
187,2022-10-26,5,CloserTwins,Faceoff,Domain Display,,Campaign,11,0,332,5,1,2
188,2022-07-01,5,CloserTwins,Faceoff,Domain Display,,Campaign,3,0,0,122,0,2
189,2022-10-26,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,20,0,464,5,1,2
190,2022-06-04,5,CloseFaster,FasterAll,Domain Display,,Campaign,6,0,0,149,0,2
191,2022-06-02,4,CloserTwins,Cutdown,Domain Display,Video,Campaign,2,0,0,151,0,2
192,2022-09-23,1,CloserTwins,Cutdown,Domain Display,Video,Campaign,2,0,0,38,0,1
193,2022-08-25,4,Others,ad1,LinkedIn,,Campaign,17,0,6,67,0,2
194,2022-05-07,1,CloserTwins,Faceoff,LinkedIn,Video,Campaign,2,0,0,177,0,1
195,2022-05-20,,NaN,NaN,,,General traffic,4512,474,1336979,164,0,
196,2022-08-18,,CloserTwins,MoreAll,Domain Display,,Campaign,1,0,0,74,0,
197,2022-07-09,1,CloserTwins,CloseMore,Domain Display,,Campaign,2,0,0,114,0,1
198,2022-07-27,4,UnfairAdvantage,NaN,LinkedIn,Single image,Campaign,1,0,0,96,0,2
199,2022-04-29,4,CloserTwins,Cutdown,LinkedIn,Video,Campaign,2,0,0,185,0,2
200,2022-06-22,2,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0,131,0,1
201,2022-08-11,2,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,81,0,1
202,2022-10-03,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,8,0,0,28,0,2
203,2022-09-13,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,5,0,40,48,0,2
204,2022-06-19,4,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,2,0,0,134,0,2
205,2022-06-13,5,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,6,0,908,140,0,2
206,2022-08-03,4,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,4,0,140,89,0,2
207,2022-07-31,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,9,0,0,92,0,2
208,2022-09-08,4,UnfairAdvantage,NoDTI,User ID Display,,Campaign,28,0,0,53,0,2
209,2022-04-06,6,Trade Media Ads,ROS,Trade Media,Housingwire,Campaign,46,0,86,208,0,3
210,2022-05-14,5,CloserTwins,MoreAll,Domain Display,,Campaign,2,0,0,170,0,2
211,2022-08-09,,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,5,0,79,83,0,
212,2022-10-02,4,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,29,0,2
213,2022-10-06,5,CloseFaster,MoreAll,Domain Display,,Campaign,2,0,0,25,0,2
214,2022-09-19,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,2,0,0,42,0,2
215,2022-05-25,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,5,0,524,159,0,3
216,2022-07-22,4,CloserTwins,Faceoff,Domain Display,,Campaign,3,0,0,101,0,2
217,2022-08-25,2,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,4,0,0,67,0,1
218,2022-05-20,1,CloserTwins,Faceoff,Facebook,Video,Campaign,1,0,0,164,0,1
219,2022-09-16,6,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,106,0,9834,45,0,3
220,2022-07-24,4,UnfairAdvantage,OnePage,Domain Display,,Campaign,1,0,0,99,0,2
221,2022-10-07,3,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,14,0,0,24,0,1
222,2022-05-27,1,CloserTwins,CloseMore,Domain Display,,Campaign,1,0,0,157,0,1
223,2022-05-01,5,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0,183,0,2
224,2022-08-02,2,CloseFaster,FasterAll,User ID Display,,Campaign,1,0,0,90,0,1
225,2022-06-17,2,CloserTwins,Faceoff,Facebook,Video,Campaign,1,0,0,136,0,1
226,2022-09-21,1,CloserTwins,FasterAll,Domain Display,,Campaign,1,0,0,40,0,1
227,2022-05-23,1,CloserTwins,Faceoff,Domain Display,,Campaign,1,0,0,161,0,1
228,2022-07-01,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,5,0,0,122,0,3
229,2022-07-02,3,CloserTwins,Faceoff,Domain Display,,Campaign,1,0,0,121,0,1
230,2022-05-26,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0,158,0,2
231,2022-08-02,,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,2,0,21,90,0,
232,2022-07-10,3,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,2,0,44,113,0,1
233,2022-10-11,4,CloserTwins,MoreAll,User ID Display,,Campaign,36,0,0,20,0,2
234,2022-08-23,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,2,0,16,69,0,2
235,2022-09-02,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,2,0,0,59,0,1
236,2022-08-21,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0,71,0,2
237,2022-04-20,4,CloserTwins,MoreAll,LinkedIn,Video,Campaign,2,0,0,194,0,2
238,2022-06-12,1,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0,141,0,1
239,2022-06-05,1,UnfairAdvantage,All,Facebook,Carousel,Campaign,1,0,0,148,0,1
240,2022-10-22,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,16,0,4,9,1,2
241,2022-05-21,3,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,1,0,0,163,0,1
242,2022-05-27,1,CloserTwins,Cutdown,LinkedIn,Video,Campaign,1,0,0,157,0,1
243,2022-08-21,2,CloserTwins,MoreAll,User ID Display,,Campaign,2,0,0,71,0,1
244,2022-09-08,4,CloserTwins,Competitors,Domain Display,,Campaign,2,0,0,53,0,2
245,2022-05-05,5,UnfairAdvantage,NaN,LinkedIn,Single image,Campaign,3,0,0,179,0,2
246,2022-08-29,,Others,Others,,,General traffic,7,0,50,63,0,
247,2022-05-06,1,CloserTwins,ShapeUp,LinkedIn,Video,Campaign,1,0,0,178,0,1
248,2022-05-11,6,CloserTwins,OTT,OTT,Video,Campaign,2,0,0,173,0,3
249,2022-06-12,1,CloserTwins,Cutdown,Facebook,Video,Campaign,2,0,0,141,0,1
250,2022-07-28,1,UnfairAdvantage,NoDTI,Facebook,Single image,Campaign,1,0,0,95,0,1
251,2022-04-27,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,5,0,0,187,0,2
252,2022-08-24,3,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,1,0,0,68,0,1
253,2022-10-27,,NaN,NaN,,,General traffic,2835,394,1225944,4,1,
254,2022-05-17,4,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,1,0,0,167,0,2
255,2022-05-09,3,CloserTwins,Cutdown,LinkedIn,Video,Campaign,2,0,275,175,0,1
256,2022-05-31,1,UnfairAdvantage,OnePage,LinkedIn,Single image,Campaign,1,0,0,153,0,1
257,2022-08-04,4,CloseFaster,3steps,LinkedIn,Single image,Campaign,3,0,0,88,0,2
258,2022-06-30,,NaN,NaN,,,General traffic,2664,406,747412,123,0,
259,2022-06-14,4,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0,139,0,2
260,2022-09-23,2,CloseFaster,MoreAll,User ID Display,,Campaign,7,0,0,38,0,1
261,2022-08-20,1,CloserTwins,MoreAll,User ID Display,,Campaign,5,0,0,72,0,1
262,2022-04-20,1,CloserTwins,Faceoff,LinkedIn,Video,Campaign,1,0,0,194,0,1
263,2022-07-17,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,13,0,1561,106,0,2
264,2022-10-25,3,CloserTwins,MoreAll,User ID Display,,Campaign,1,0,0,6,1,1
265,2022-10-19,4,UnfairAdvantage,NaN,Domain Display,,Campaign,74,0,2246,12,1,2
266,2022-07-27,5,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,3,0,0,96,0,2
267,2022-06-02,1,CloserTwins,Faceoff,Domain Display,,Campaign,1,0,0,151,0,1
268,2022-05-09,1,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,175,0,1
269,2022-05-01,3,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,183,0,1
270,2022-08-15,3,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,8,0,2,77,0,1
271,2022-07-03,5,CloserTwins,MoreAll,Domain Display,,Campaign,5,0,0,120,0,2
272,2022-04-29,4,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,1,0,0,185,0,2
273,2022-10-04,1,CloserTwins,MoreAll,User ID Display,,Campaign,25,0,0,27,0,1
