,Date,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign Traffic,Total_Sessions,Total_Bounces,Total_Duration,Days away from max date,Latest report?,Target_Groups
2741,2022-06-29,4,UnfairAdvantage,NaN,LinkedIn,Single image,Campaign,1,0,0,124,0,2
2742,2022-10-23,1,CloserTwins,Faceoff,Domain Display,,Campaign,1,0,0,8,1,1
2743,2022-04-21,5,CloseFaster,MoreAll,Domain Display,,Campaign,1,0,0,193,0,2
2744,2022-05-15,1,UnfairAdvantage,OnePage,Facebook,Single image,Campaign,1,0,0,169,0,1
2745,2022-05-31,2,CloseFaster,FasterAll,Domain Display,,Campaign,1,0,0,153,0,1
2746,2022-07-29,,NaN,NaN,,,General traffic,1658,273,599802,94,0,
2747,2022-07-28,2,CloserTwins,Faceoff,Domain Display,,Campaign,1,0,0,95,0,1
2748,2022-09-20,4,CloserTwins,Competitors,Domain Display,,Campaign,4,0,717,41,0,2
2749,2022-09-28,1,CloseFaster,FasterAll,User ID Display,,Campaign,14,0,1,33,0,1
2750,2022-05-04,5,CloserTwins,Cutdown,LinkedIn,Video,Campaign,1,0,0,180,0,2
2751,2022-06-04,2,CloserTwins,Faceoff,Facebook,Video,Campaign,1,0,0,149,0,1
2752,2022-06-29,4,CloserTwins,FasterAll,Domain Display,,Campaign,3,0,0,124,0,2
2753,2022-07-23,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,12,0,87,100,0,2
2754,2022-08-05,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,7,0,0,87,0,1
2755,2022-05-04,4,CloserTwins,ShapeUp,LinkedIn,Video,Campaign,1,0,0,180,0,2
2756,2022-07-12,1,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,111,0,1
2757,2022-09-11,4,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,2,0,69,50,0,2
2758,2022-09-20,5,CloseFaster,FasterAll,User ID Display,,Campaign,19,19,0,41,0,2
2759,2022-05-03,6,SEM Ads,CloseMore,Google SEM,CPC,Campaign,6,0,1921,181,0,3
2760,2022-04-23,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,6,0,0,191,0,2
2761,2022-05-21,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,6,0,807,163,0,3
2762,2022-10-21,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,11,0,0,10,1,1
2763,2022-04-28,1,CloserTwins,ShapeUp,LinkedIn,Video,Campaign,3,0,0,186,0,1
2764,2022-08-06,3,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,7,0,0,86,0,1
2765,2022-07-08,1,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,2,0,0,115,0,1
2766,2022-07-12,4,CloserTwins,MoreAll,User ID Display,,Campaign,5,0,0,111,0,2
2767,2022-10-26,5,CloseFaster,FasterAll,Domain Display,,Campaign,6,0,941,5,1,2
2768,2022-05-04,5,CloserTwins,CloseMore,Domain Display,,Campaign,1,0,20,180,0,2
2769,2022-08-06,3,CloserTwins,MoreAll,User ID Display,,Campaign,9,0,0,86,0,1
2770,2022-10-10,4,CloseFaster,FasterAll,User ID Display,,Campaign,23,0,0,21,0,2
2771,2022-09-02,,CloseFaster,FasterAll,Domain Display,,Campaign,1,0,0,59,0,
2772,2022-05-10,1,CloserTwins,Faceoff,Facebook,Video,Campaign,2,0,0,174,0,1
