Date,Audience,Target_Group,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign_Traffic,Total_Sessions,Total_Bounces,Total_Duration
9/6/2022,4,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,9,0,0
31/7/2022,5,2,CloseFaster,MoreNoReg,User ID Display,NA,Campaign,15,0,0
9/7/2022,4,2,CloseFaster,MoreAll,User ID Display,NA,Campaign,3,0,0
12/10/2022,4,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,17,0,0
13/8/2022,4,2,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,2,0,0
27/10/2022,1,1,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,0
31/10/2022,5,2,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,15,0,15
26/5/2022,5,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,6,0,0
21/7/2022,1,1,CloserTwins,Cutdown1B,Facebook,Video,Campaign,1,0,0
13/8/2022,2,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,2,0,0
30/8/2022,5,2,CloseFaster,MoreNoReg,User ID Display,NA,Campaign,10,0,0
26/7/2022,3,1,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0
26/8/2022,4,2,CloseFaster,FasterAll,User ID Display,NA,Campaign,1,0,0
26/7/2022,5,2,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,2,0,0
9/5/2022,1,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0
28/7/2022,5,2,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,0
9/9/2022,4,2,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,4,0,0
28/5/2022,6,3,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,4,0,103
14/9/2022,4,2,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,16,0,0
8/10/2022,5,2,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,3,0,0
7/10/2022,1,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,3,0,0
31/8/2022,4,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,3,0,0
11/7/2022,1,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0
9/4/2022,6,3,CompetitiveOpportunity,Cancelingyourlock,Domain Display,Single image,Campaign,19,0,0
16/7/2022,5,2,CloserTwins,CloseMore,Domain Display,NA,Campaign,3,0,0
20/9/2022,3,1,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,21,0,0
20/8/2022,4,2,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,5,0,0
2/7/2022,2,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0
26/7/2022,3,1,CloserTwins,Cutdown1B,Facebook,Video,Campaign,1,0,0
29/9/2022,3,1,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,8,0,0
2/5/2022,1,1,CloseFaster,MoreAll,Domain Display,NA,Campaign,1,0,0
3/5/2022,4,2,CloseFaster,3steps,LinkedIn,Single image,Campaign,4,0,0
2/9/2022,4,2,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,3,0,33
8/9/2022,3,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,32,0,0
15/6/2022,5,2,UnfairAdvantage,1099,Domain Display,Single image,Campaign,6,0,0
29/5/2022,3,1,CloserTwins,ShapeUp,LinkedIn,Video,Campaign,1,0,0
22/8/2022,5,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,3,0,0
26/8/2022,5,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,3,0,0
10/5/2022,4,2,CloseFaster,3steps,LinkedIn,Single image,Campaign,5,0,0
29/5/2022,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,12,0,487
5/10/2022,2,1,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,2,0,0
12/8/2022,5,2,CloseFaster,3steps,LinkedIn,Single image,Campaign,2,0,0
29/9/2022,NA,NA,NA,NA,NA,NA,General traffic,2244,327,774049
14/10/2022,4,2,UnfairAdvantage,1099,User ID Display,NA,Campaign,41,0,0
2/9/2022,4,2,others,ad1,LinkedIn,NA,Campaign,12,0,0
11/5/2022,4,2,CloseFaster,MoreAll,Domain Display,NA,Campaign,1,0,0
17/9/2022,3,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,9,0,0
8/5/2022,4,2,UnfairAdvantage,1099,Domain Display,Single image,Campaign,3,0,0
16/8/2022,3,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,2,0,0
2/9/2022,5,2,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0
4/10/2022,3,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,27,0,0
12/10/2022,3,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,16,0,0
19/10/2022,4,2,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,10,0,0
11/5/2022,3,1,CloserTwins,Namaste,LinkedIn,Video,Campaign,1,0,0
30/9/2022,3,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,13,0,0
5/5/2022,6,3,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,2,0,0
5/5/2022,1,1,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,3,0,0
7/5/2022,4,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0
16/7/2022,4,2,CloseFaster,3steps,LinkedIn,Single image,Campaign,2,0,0
1/9/2022,3,1,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,3,0,0
4/7/2022,4,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,2,0,0
13/6/2022,5,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,5,0,181
22/4/2022,3,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,3,0,0
12/8/2022,1,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,1,0,0
29/6/2022,4,2,CloserTwins,CloseMore,Domain Display,NA,Campaign,2,0,0
19/4/2022,NA,NA,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,1254
13/8/2022,2,1,CloseFaster,3steps,Facebook,Single image,Campaign,1,0,0
17/10/2022,1,1,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,0
18/7/2022,2,1,CloserTwins,Faceoff1,Facebook,Video,Campaign,1,0,0
27/8/2022,2,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,1,0,0
18/6/2022,2,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0
25/4/2022,2,1,CloserTwins,Cutdown1A,Facebook,Video,Campaign,2,0,0
25/6/2022,5,2,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,2,0,6
28/9/2022,4,2,CloseFaster,FasterAll,User ID Display,NA,Campaign,16,0,0
6/7/2022,1,1,CloserTwins,MoreLoans,Facebook,Video,Campaign,2,0,0
3/7/2022,4,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,7,0,0
12/5/2022,4,2,CloserTwins,Competitors,Domain Display,NA,Campaign,1,0,0
13/6/2022,5,2,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,4,0,1490
19/10/2022,1,1,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0
6/8/2022,4,2,CloseFaster,FasterAll,Domain Display,NA,Campaign,2,0,0
25/4/2022,6,3,SEM Ads,NA,Google SEM,CPC,Campaign,140,0,15795
13/8/2022,5,2,CloseFaster,FasterReg,User ID Display,NA,Campaign,7,7,0
9/6/2022,3,1,UnfairAdvantage,NoDTI,Facebook,Single image,Campaign,1,0,0
16/8/2022,NA,NA,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,26
24/6/2022,2,1,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,0
24/8/2022,4,2,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,1,0,0
12/8/2022,2,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0
26/8/2022,1,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,3,0,0
15/9/2022,4,2,CloseFaster,FasterAll,Domain Display,NA,Campaign,1,0,0
18/5/2022,3,1,UnfairAdvantage,1099,Facebook,Single image,Campaign,1,0,0
13/10/2022,4,2,UnfairAdvantage,NoDTI,Domain Display,NA,Campaign,12,0,1368
2/6/2022,4,2,CloseFaster,MoreAll,Domain Display,NA,Campaign,1,0,0
8/8/2022,4,2,CloseFaster,FasterAll,User ID Display,NA,Campaign,5,0,0
27/8/2022,5,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,9,0,694
10/6/2022,2,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0
4/8/2022,4,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,5,0,30
4/5/2022,2,1,CloserTwins,Cutdown1B,Facebook,Video,Campaign,2,0,0
20/6/2022,NA,NA,others,ComingSoon,NA,NA,General traffic,1,0,0
21/5/2022,4,2,CloserTwins,Faceoff1,LinkedIn,Video,Campaign,1,0,0
2/4/2022,6,3,others,ROS1,Trade Media,Housingwire,Campaign,2,0,0
28/5/2022,4,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0
13/10/2022,6,3,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,4,0,0
26/7/2022,4,2,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0
1/9/2022,3,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,3,0,0
24/7/2022,5,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,7,0,0
18/9/2022,1,1,CloserTwins,Competitors,Domain Display,NA,Campaign,2,0,0
2/8/2022,5,2,CloseFaster,MoreNoReg,User ID Display,NA,Campaign,13,0,0
22/7/2022,3,1,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,1,0,0
30/10/2022,4,2,CloseFaster,MoreAll,User ID Display,NA,Campaign,21,0,0
5/9/2022,4,2,CloseFaster,FasterAll,Domain Display,NA,Campaign,1,0,0
24/6/2022,4,2,CloserTwins,Competitors,Domain Display,NA,Campaign,1,0,0
26/4/2022,4,2,CloserTwins,Faceoff1,LinkedIn,Video,Campaign,1,0,0
2/10/2022,1,1,UnfairAdvantage,1099,User ID Display,Single image,Campaign,12,0,0
15/7/2022,2,1,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,3,0,0
17/6/2022,5,2,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0
1/8/2022,NA,NA,NA,NA,NA,NA,General traffic,2214,321,772702
15/7/2022,3,1,CloserTwins,Cutdown1B,Facebook,Video,Campaign,1,0,0
1/10/2022,3,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,8,0,1104
25/8/2022,1,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,5,0,0
15/9/2022,3,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,16,0,160
14/8/2022,2,1,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,1,0,0
25/4/2022,3,1,CloseFaster,NoDTI,Facebook,Single image,Campaign,1,0,0
4/5/2022,5,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,8,0,49
22/10/2022,5,2,UnfairAdvantage,1099,Domain Display,Single image,Campaign,65,0,3752
24/8/2022,NA,NA,others,All3,NA,NA,General traffic,6,0,11
14/10/2022,4,2,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,44,0,0
13/9/2022,5,2,CloseFaster,FasterReg,User ID Display,NA,Campaign,13,12,6
20/4/2022,6,3,others,Rate Lock,Trade Media,Scotsman,Campaign,7,0,940
