Date,Audience,Target_Group,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign_Traffic,Total_Sessions,Total_Bounces,Total_Duration
3/8/2022,5,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,6,0,0
18/8/2022,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,97,0,13627
29/10/2022,4,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,19,0,81
11/4/2022,NA,NA,others,3/1/2022 0:00,NA,NA,General traffic,1,0,0
9/5/2022,5,2,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,3,0,75
9/5/2022,1,1,CloserTwins,Competitors,Domain Display,NA,Campaign,1,0,0
16/5/2022,5,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,8,0,1658
5/5/2022,5,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,4,0,0
13/5/2022,5,2,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,52
12/10/2022,4,2,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,57,0,0
