Date,Campaign,Audience,Target_Group,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic
19/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),14,General traffic
19/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
19/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
20/4/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,3,General traffic
20/4/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,2,General traffic
20/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic
20/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),16,General traffic
20/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,8,General traffic
21/4/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,1,General traffic
21/4/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
21/4/2022,NA,NA,NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic
21/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
21/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),25,General traffic
21/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),2,General traffic
21/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
22/4/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
22/4/2022,NA,NA,NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic
22/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic
22/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),19,General traffic
22/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),2,General traffic
22/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,3,General traffic
23/4/2022,NA,NA,NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic
23/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
23/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
24/4/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,1,General traffic
24/4/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
24/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
24/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
25/4/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,2,General traffic
25/4/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,3,General traffic
25/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
25/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),20,General traffic
25/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
26/4/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,1,General traffic
26/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic
26/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),23,General traffic
26/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),2,General traffic
26/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,3,General traffic
27/4/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,5,General traffic
27/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic
27/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),17,General traffic
27/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
27/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,6,General traffic
28/4/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,1,General traffic
28/4/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,4,General traffic
28/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
28/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),22,General traffic
28/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
28/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
29/4/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,3,General traffic
29/4/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,2,General traffic
29/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),19,General traffic
29/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
29/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
30/4/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
30/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
1/5/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,1,General traffic
1/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic
2/5/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,3,General traffic
2/5/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,2,General traffic
2/5/2022,NA,NA,NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic
2/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),24,General traffic
2/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
2/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,5,General traffic
3/5/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,1,General traffic
3/5/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
3/5/2022,NA,NA,NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic
3/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3,General traffic
3/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),25,General traffic
3/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
3/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,8,General traffic
4/5/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,2,General traffic
4/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic
4/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),19,General traffic
4/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
5/5/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,2,General traffic
5/5/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,2,General traffic
5/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic
5/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),23,General traffic
5/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
6/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),20,General traffic
6/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
6/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,5,General traffic
7/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
8/5/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
8/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
8/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
9/5/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,2,General traffic
9/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
